id;nb_previous_loans;avg_amount_loans_previous;age;years_on_the_job;flag_own_car;status
5045381;22;133.06418;44;4;1;0
5046172;21;132.22879;55;0;1;0
5046236;49;133.03448;53;9;0;0
5046384;5;118.418434;59;-999;0;0
5046425;14;151.23648;30;1;1;0
5048349;24;122.28695;45;20;0;0
5048399;17;117.12671;49;8;0;0
5048505;12;121.40686;41;15;1;0
5050583;16;119.380455;43;6;0;0
5050941;3;108.545395;46;11;0;0
5051030;24;123.99517;47;5;1;0
5051157;55;130.34647;38;5;0;0
5052702;36;129.03174;34;1;1;0
5053291;2;116.909584;33;9;0;0
5053455;4;123.79627;62;-999;0;0
5053517;45;138.57442;40;9;1;0
5054355;17;126.86838;61;15;0;0
5054673;14;127.905045;28;6;0;0
5054756;14;113.04799;43;17;0;0
5056056;17;133.16692;51;10;1;0
5058450;43;122.73094;38;7;0;0
5058466;29;132.60995;34;5;0;0
5058510;10;134.91501;62;-999;0;0
5061822;5;121.761604;23;4;0;0
5061854;3;137.24538;55;-999;0;0
5062610;3;139.278;29;8;0;0
5062739;7;133.50476;41;3;0;0
5065839;12;123.59153;56;2;0;0
5066783;2;127.838844;43;5;1;0
5067254;8;125.61015;57;-999;1;0
5067446;7;130.51591;63;-999;1;0
5067804;1;123.33518;53;0;0;0
5068033;7;165.29076;48;11;0;0
5068039;16;129.46869;47;26;0;0
5068077;5;118.72868;62;-999;0;0
5068137;22;126.91513;56;-999;0;0
5068153;19;137.3292;53;9;1;0
5068226;6;137.7912;37;11;1;0
5068598;18;135.41705;37;7;0;0
5068768;8;134.29547;45;6;0;0
5068775;55;128.30943;51;-999;0;0
5068893;10;128.69737;64;13;0;0
5068955;27;122.828445;26;1;0;0
5069001;45;124.337036;51;1;1;0
5069061;29;134.44653;49;7;1;0
5069177;4;112.67375;54;-999;1;0
5074703;3;108.373505;61;29;0;0
5078984;6;121.922905;59;7;1;0
5085694;8;129.29477;59;-999;0;0
5085721;51;127.138435;40;16;0;0
5085860;1;175.13382;39;4;0;0
5085984;6;160.1199;46;4;1;0
5088535;12;131.42212;66;-999;0;0
5088571;13;124.60025;60;-999;0;0
5088671;3;104.9573;25;4;1;0
5088696;7;136.84792;48;3;1;0
5088728;11;135.3011;46;3;0;0
5089084;5;115.851746;50;7;0;0
5089546;18;132.53395;36;5;0;1
5089931;11;129.41524;52;13;1;0
5089948;1;101.41684;51;3;0;0
5090026;13;139.43658;27;1;0;0
5090249;2;114.40372;40;10;1;0
5090331;25;121.42456;64;-999;0;0
5090558;8;119.21441;33;7;1;0
5090836;24;113.94724;40;-999;0;0
5090925;10;121.90573;46;9;0;0
5091115;3;108.71184;40;8;0;0
5091267;29;128.59204;64;-999;0;0
5091957;17;133.3909;42;1;0;0
5091961;13;131.19014;53;-999;0;0
5092149;6;110.39341;52;-999;0;0
5092334;36;130.45511;68;-999;0;0
5095205;15;120.80031;51;15;1;0
5095333;5;115.65818;55;1;0;0
5095772;39;131.97713;24;0;0;0
5095903;21;152.50142;42;4;0;0
5095929;9;123.60284;56;-999;0;0
5096014;17;128.32697;27;1;0;0
5096294;16;122.147026;48;4;0;0
5096379;3;126.42592;32;5;1;0
5096994;4;113.931984;32;7;0;0
5097063;30;124.8804;28;4;0;0
5099872;7;144.73465;27;2;1;0
5100303;18;124.94552;41;4;1;0
5105578;2;105.5072;29;3;1;0
5105674;28;119.21828;28;2;0;0
5112603;14;114.486885;61;35;0;0
5112626;56;132.03815;54;12;0;0
5112842;13;130.00688;55;7;1;0
5112976;14;127.98242;44;7;1;0
5113656;9;149.54033;65;-999;0;0
5114052;6;130.82387;51;21;0;0
5114197;31;132.19017;46;-999;1;0
5115892;2;117.51831;48;4;1;0
5116164;32;126.86568;64;-999;1;0
5116372;2;115.95434;28;3;0;0
5117025;9;154.7404;59;-999;1;0
5117729;16;136.37148;28;2;0;0
5118184;13;146.6352;37;0;0;0
5118548;2;114.86048;50;5;1;0
5125508;6;147.07724;41;0;0;0
5125564;12;126.804955;28;8;1;0
5126112;4;120.116585;44;11;0;0
5126587;2;159.22916;57;-999;0;0
5126729;23;139.47246;45;3;0;0
5132698;2;119.596;35;8;0;0
5132719;13;118.40943;67;8;0;0
5132844;45;128.48517;32;1;1;0
5135605;23;124.506676;52;8;0;0
5135899;29;118.94488;35;7;0;0
5135938;37;130.57254;43;10;1;1
5137235;29;129.3959;38;7;1;0
5139318;25;118.49181;66;-999;0;0
5139922;32;131.73817;42;7;1;0
5139947;35;130.4014;55;9;1;0
5142147;33;126.92008;38;3;0;0
5142162;10;149.77666;31;7;0;0
5142267;10;143.34276;43;1;0;0
5142805;49;122.39256;50;12;0;0
5142868;26;128.06078;58;-999;1;0
5142914;17;128.32161;34;11;0;0
5143408;1;169.70074;61;-999;0;0
5146054;6;126.507614;39;16;0;0
5146379;17;121.7965;44;4;1;0
5148461;23;132.2342;52;30;0;0
5149382;47;131.80124;45;1;1;0
5149573;36;121.66868;46;2;0;0
5149705;27;139.49814;32;10;0;0
5150412;17;130.54143;60;-999;0;0
5008957;39;132.08205;49;5;1;0
5009335;9;120.01292;44;19;0;0
5009796;5;156.01712;60;-999;0;0
5010263;27;140.1447;38;15;0;0
5010462;26;137.4067;51;11;0;0
5010998;28;136.44865;55;1;0;0
5021236;8;143.3913;34;4;0;0
5021489;16;121.7494;29;4;1;0
5021955;12;138.41132;25;6;0;0
5022149;29;127.6462;32;8;1;0
5022168;55;127.58347;36;2;0;0
5022317;24;134.57391;31;4;1;0
5022481;6;128.2152;22;-999;0;1
5022487;7;120.287994;46;8;0;0
5022945;17;123.89675;38;4;1;0
5023251;44;124.87256;53;-999;0;0
5023373;55;131.44315;46;3;0;0
5023641;30;121.07557;40;6;1;0
5023972;4;145.38806;63;-999;0;0
5024382;47;125.82563;34;5;0;0
5024762;10;129.10764;45;24;0;0
5024815;22;124.13029;61;-999;0;0
5024875;20;142.56023;35;5;0;0
5025040;10;126.692764;26;6;0;0
5025948;5;142.24022;37;15;0;0
5026143;9;120.31593;65;17;0;0
5026314;15;128.33058;43;8;1;0
5026453;2;112.657616;34;9;0;0
5028909;15;125.688934;27;5;0;0
5028975;14;133.79419;31;2;1;0
5029178;16;124.97617;56;-999;0;0
5033536;4;122.75037;51;21;0;0
5033653;39;133.11353;27;2;0;0
5036479;37;126.489624;31;1;0;0
5036556;53;138.56668;52;-999;0;0
5036764;19;129.01562;40;4;0;0
5036915;4;125.33844;33;3;0;0
5038743;19;141.86618;43;0;0;0
5038920;10;123.46413;30;7;0;0
5041062;28;136.97795;48;6;0;0
5041788;11;131.50865;57;3;1;0
5041941;15;127.32484;28;2;0;0
5041981;55;142.41;40;13;0;0
5042122;18;135.09067;49;-999;1;0
5042256;4;114.001854;44;1;0;0
5042273;33;121.95146;66;-999;0;0
5042285;3;119.03115;29;3;0;0
5045523;2;119.32603;60;-999;0;0
5045924;9;124.96351;65;-999;0;0
5046075;34;123.919075;39;16;1;0
5046416;53;130.22308;40;4;1;0
5047760;15;137.02608;35;2;0;0
5047769;23;132.51077;65;-999;0;0
5048245;56;136.14684;37;18;1;0
5052616;5;139.95535;50;5;1;0
5052699;24;127.01839;34;1;1;0
5053186;39;130.87006;55;7;0;0
5053224;40;136.11386;56;8;0;0
5053593;29;125.692055;37;2;1;0
5053602;41;127.82765;58;24;0;0
5053742;59;131.41428;44;9;0;0
5053919;20;140.08823;39;7;1;0
5054028;6;140.11684;54;6;0;0
5054354;52;133.29128;61;15;0;0
5054670;23;141.65604;28;6;0;0
5054688;31;126.99569;28;6;0;0
5054778;23;133.14908;58;4;0;0
5056029;21;130.75258;29;1;1;0
5056222;12;130.69156;29;7;0;0
5061117;27;123.12346;55;15;0;0
5061996;21;133.85641;25;3;0;0
5062177;16;125.66983;42;2;0;0
5065506;50;127.6901;34;7;1;0
5065616;5;120.11103;22;2;1;0
5066407;20;131.21364;35;7;0;0
5066805;5;113.97829;45;1;1;0
5066999;7;126.312325;41;15;0;0
5067126;9;130.7325;38;11;1;0
5067217;34;131.95415;33;5;0;0
5067342;38;127.8204;45;3;1;0
5067380;46;140.9772;25;4;1;0
5067455;16;136.86707;35;3;0;0
5067477;28;126.38801;30;9;1;0
5067893;9;113.297386;46;2;1;0
5074581;8;116.05801;28;8;0;0
5079102;4;173.73575;48;14;1;0
5085663;1;109.6174;58;-999;1;0
5085991;42;122.302;59;-999;1;0
5087569;2;110.31107;44;9;0;0
5087648;3;112.554695;67;-999;0;0
5087855;8;136.34758;54;33;1;0
5087881;14;139.2546;60;14;0;0
5088987;25;119.62261;40;3;0;0
5089139;20;141.71124;39;14;1;0
5089392;14;122.40673;40;8;1;0
5089485;21;124.83805;35;1;0;0
5089592;12;130.02501;38;3;1;0
5089736;20;133.70198;52;18;1;0
5089815;8;148.95374;33;9;0;0
5090082;15;122.47704;41;5;0;0
5090124;10;119.73328;43;5;0;0
5090561;21;127.351814;35;7;0;0
5090855;8;121.923325;57;0;0;0
5090986;9;132.77696;24;3;1;0
5090992;28;134.91873;28;7;1;0
5091484;40;136.01013;28;4;0;0
5091605;3;163.41158;51;2;0;0
5091785;13;124.04437;35;1;1;0
5092445;5;130.9673;54;-999;1;0
5094917;22;125.77064;33;4;1;0
5095993;3;111.13666;53;2;1;0
5096050;1;146.14902;55;-999;0;0
5096228;19;124.42743;48;5;0;0
5096397;3;102.93161;39;4;0;0
5097176;5;175.81322;59;18;0;0
5099802;22;135.14427;39;6;1;0
5100205;10;136.2244;47;8;0;0
5100275;17;142.00327;34;1;0;0
5106140;24;125.6374;51;0;1;0
5112879;22;130.25685;45;15;1;0
5113424;14;120.717705;51;1;0;0
5113801;16;133.56502;35;9;0;0
5113867;3;106.11924;44;3;0;0
5113875;18;121.96497;45;9;0;0
5114046;19;141.68959;40;15;0;0
5114450;8;124.53086;32;7;1;0
5114492;12;118.59694;64;-999;1;0
5115754;10;125.5434;29;6;1;0
5116036;33;126.41661;40;2;1;1
5116260;32;130.26682;48;20;0;0
5116308;36;132.94815;55;28;0;0
5116509;29;122.17487;44;9;1;0
5116679;13;132.75105;59;-999;0;0
5116717;27;130.99738;52;2;0;0
5116868;37;139.18196;40;21;1;0
5116922;46;121.52619;28;8;1;0
5117175;56;125.15071;63;-999;0;0
5117356;17;128.31232;33;6;0;0
5117589;5;125.08909;37;3;0;0
5117739;37;130.77823;38;8;1;0
5125237;4;123.19898;38;0;0;0
5125342;2;110.80557;61;-999;0;0
5125482;23;111.997665;56;-999;0;0
5125613;49;126.539;50;10;0;0
5126740;12;127.594955;57;-999;0;0
5132466;6;123.744774;28;3;0;0
5132695;3;111.743935;35;8;0;0
5132932;1;102.692444;35;4;0;0
5135424;7;124.53503;28;1;0;0
5135920;11;128.96558;44;1;0;0
5137453;29;129.7452;35;5;1;0
5137481;36;126.173935;37;8;0;0
5139332;33;128.87578;25;4;0;0
5139407;44;127.14467;39;17;1;0
5139684;5;126.71253;38;11;1;0
5139951;35;134.09776;55;9;1;0
5140077;19;126.96825;41;1;0;0
5142167;34;146.5149;35;11;0;0
5143391;3;107.46661;29;2;0;0
5145881;26;135.71574;61;-999;0;0
5145900;22;131.72446;57;20;0;0
5145921;45;126.799965;41;4;1;0
5146012;14;114.6535;67;-999;0;0
5146317;20;140.7131;40;4;0;0
5146444;8;120.706566;39;2;0;1
5148651;28;121.00008;42;7;1;0
5148904;6;137.68713;25;2;0;0
5149464;15;124.52514;42;5;0;0
5149517;28;137.88182;48;-999;1;0
5149842;14;138.63107;52;-999;0;0
5150028;10;118.22304;39;9;1;0
5008910;20;120.24664;42;9;0;0
5008914;18;124.14181;42;9;0;0
5009067;4;116.72763;29;6;1;0
5009118;12;114.40226;43;1;0;0
5009196;7;130.14592;57;24;0;0
5009389;16;123.135315;30;9;0;0
5010046;12;112.57524;60;23;0;0
5010076;21;138.33322;46;10;0;0
5010288;1;118.40463;56;-999;0;0
5010330;14;133.27351;63;-999;0;0
5010459;39;131.99466;51;11;0;0
5010735;4;119.97371;32;14;0;0
5010739;4;124.05105;32;14;0;0
5010796;2;104.92227;38;15;0;0
5021253;48;127.47036;50;18;0;0
5021383;5;119.12971;30;2;0;1
5021856;2;117.41957;28;1;0;0
5022161;12;124.716;60;-999;0;0
5022244;4;170.63194;42;23;0;0
5022308;38;132.47339;52;9;0;0
5022673;16;124.927185;39;15;0;0
5022771;24;129.0913;38;1;0;0
5023036;13;148.34749;22;3;0;0
5023242;3;109.25758;35;15;1;0
5023247;3;125.71711;35;15;1;0
5023270;8;122.50069;64;-999;0;0
5023305;16;121.52702;29;5;1;0
5024462;7;124.79167;58;-999;0;0
5024532;6;115.342064;63;-999;0;0
5024537;3;115.5911;63;-999;0;0
5024635;29;147.51949;54;3;0;0
5024877;10;122.40361;62;8;1;0
5025184;10;136.5855;61;-999;0;0
5026393;15;117.89758;53;17;0;0
5028501;34;126.642075;28;1;1;0
5028770;10;125.722725;33;5;0;0
5028793;6;111.98297;34;3;0;0
5029193;24;128.80542;42;23;0;0
5029655;41;128.72552;60;4;0;0
5029671;28;113.75676;50;6;0;0
5033414;4;112.43005;57;3;0;0
5033420;53;126.341545;53;14;1;0
5033546;6;110.72996;57;-999;0;0
5033712;13;131.67986;40;2;0;0
5033756;9;131.97707;57;1;1;0
5035589;24;151.13913;46;16;0;0
5036144;3;106.31327;65;-999;0;0
5036273;6;118.73077;57;-999;1;0
5036594;5;121.59678;43;22;0;0
5036754;35;122.24148;55;3;1;0
5037218;15;124.203995;28;2;1;0
5037275;23;120.708244;26;1;0;0
5038660;23;124.40973;28;3;0;0
5038780;11;139.4257;33;5;0;0
5041371;30;114.13934;46;7;1;0
5041806;13;150.8527;45;11;0;0
5041926;33;136.79672;34;1;1;0
5045669;7;128.87544;40;13;0;0
5046457;10;119.542114;33;1;1;0
5047822;10;141.32298;29;1;1;0
5048025;49;133.63283;36;13;1;0
5048234;2;146.18117;33;7;1;0
5048295;14;141.80128;59;12;1;0
5050728;6;145.23323;23;1;1;0
5050915;7;135.25899;44;16;0;0
5050944;6;129.81049;33;11;0;0
5051074;11;136.62923;46;3;0;0
5053003;3;112.97453;26;4;1;0
5053030;13;122.719246;57;-999;0;0
5053049;10;173.76262;22;-999;0;0
5053329;10;125.4128;36;2;1;0
5053363;49;131.34933;56;8;0;0
5053439;17;126.713905;25;6;1;0
5053470;3;144.57932;51;6;0;0
5054115;27;136.86092;28;1;0;0
5055997;27;127.462456;44;4;0;0
5061556;52;130.14725;66;-999;1;0
5061579;15;119.366615;54;11;0;0
5061596;19;122.25365;51;1;1;0
5061837;28;129.03796;30;0;1;0
5061998;36;122.39251;25;3;0;0
5062323;59;132.59378;46;26;0;0
5062331;34;131.61778;43;8;0;0
5062441;38;125.567635;31;2;1;0
5062649;43;127.61168;51;4;1;0
5065345;15;138.58278;61;-999;0;0
5067489;4;126.368256;35;13;0;0
5067739;12;132.13765;25;3;1;0
5078785;34;126.35821;54;9;0;0
5085671;15;131.2046;48;5;0;0
5085824;7;118.70485;59;3;0;0
5087553;18;126.121254;40;7;1;0
5088352;8;132.60611;35;10;0;1
5088490;8;165.49977;40;2;1;0
5089277;25;129.93835;37;9;1;0
5089746;20;126.82031;52;18;1;0
5089868;41;125.96069;59;-999;0;0
5090209;59;128.49126;40;5;0;0
5090255;3;119.77645;55;22;1;0
5091674;12;142.21729;63;-999;0;0
5091715;23;125.43137;27;7;1;0
5091759;36;144.51836;42;4;0;0
5092129;24;128.0797;44;12;1;0
5092305;3;103.50854;51;9;0;0
5092338;44;133.83165;52;3;0;0
5092424;30;130.41187;46;0;1;0
5094929;25;146.92203;44;1;1;0
5095322;33;127.901695;62;-999;0;0
5095380;11;122.03568;44;7;1;0
5095591;34;131.56238;30;6;1;0
5095677;24;124.2522;62;-999;0;0
5096105;14;139.58394;29;1;1;0
5096591;15;150.6539;31;4;0;0
5096967;34;125.3591;59;-999;0;0
5096978;23;121.978966;26;5;1;0
5099775;40;123.441475;40;16;1;0
5100320;20;124.06818;35;1;0;0
5100425;10;117.908226;46;2;0;1
5100433;27;129.66423;39;7;1;0
5100448;39;128.73561;28;8;0;0
5105085;46;128.76518;49;7;1;0
5105918;15;137.07149;58;-999;0;0
5105922;14;127.68479;39;3;0;0
5106122;25;133.14294;64;9;0;0
5111144;43;129.49004;41;5;0;0
5111178;5;121.524635;31;12;0;0
5111188;31;133.9313;30;5;1;0
5113196;5;133.78711;32;6;0;0
5113411;47;123.22276;30;2;1;0
5113491;5;143.73607;27;6;0;0
5113521;13;140.93234;47;3;1;0
5113716;9;109.252075;45;8;0;0
5114071;9;129.02148;42;3;0;0
5115405;47;127.52378;40;2;1;0
5115777;35;123.877716;40;8;0;0
5115888;8;119.14832;23;1;1;0
5116006;20;141.60336;46;7;1;0
5116010;21;126.71214;49;10;0;0
5116448;20;132.70975;47;4;1;0
5116520;7;136.72748;44;9;1;0
5116953;18;138.46574;44;5;1;0
5116959;43;133.5994;46;6;1;0
5117098;14;155.36188;38;-999;1;0
5117617;31;121.4781;59;11;0;0
5117848;3;142.80527;29;10;1;0
5118400;10;149.45229;31;7;0;0
5118489;12;145.11061;37;10;0;0
5125231;15;123.28305;38;0;0;0
5125433;3;133.51923;36;3;1;0
5125730;9;126.480774;36;9;1;0
5125946;55;119.92951;40;7;0;0
5126252;35;128.88759;55;1;0;0
5126380;16;123.31389;29;8;1;0
5126712;6;128.28355;31;9;0;1
5132711;10;142.54419;64;-999;0;0
5132845;8;130.73906;48;10;0;0
5136963;28;133.0824;42;2;0;0
5137005;14;164.40662;50;22;1;0
5137128;2;120.55472;21;2;0;0
5137245;25;132.82722;47;9;0;0
5137437;27;128.87848;33;2;0;0
5142455;10;126.83332;53;-999;0;0
5142590;33;123.28769;34;9;0;0
5142746;42;140.32204;49;1;0;0
5148748;8;119.27562;31;2;1;0
5148977;17;129.46115;49;28;1;0
5149194;43;130.53467;51;7;0;0
5149621;10;151.05074;29;7;1;0
5149733;12;139.51457;32;5;0;0
5149802;9;164.74821;27;6;0;0
5008940;1;126.27495;42;9;0;0
5009492;39;137.6868;44;17;1;0
5009613;39;119.06572;34;3;0;0
5009785;6;135.56891;60;-999;0;0
5009798;7;129.2344;60;-999;0;0
5010572;11;136.53702;28;5;1;0
5010616;36;140.34636;58;3;0;0
5010770;8;120.36094;30;12;0;0
5021382;29;122.38561;30;2;0;0
5021514;10;133.56256;50;28;0;0
5021639;23;132.6542;59;1;0;0
5021746;26;127.075714;28;8;0;0
5021798;5;118.26242;34;0;0;0
5022112;4;111.44187;49;15;0;0
5022496;41;128.0504;39;6;1;0
5022707;11;119.749596;38;14;1;1
5022775;16;128.00899;63;-999;1;0
5022847;21;134.26318;34;3;0;0
5022866;16;142.49199;39;10;1;0
5022897;33;133.83621;53;4;0;0
5023209;29;119.88151;39;1;0;0
5023217;15;132.98848;46;6;1;0
5023628;37;138.56593;36;1;0;0
5024040;2;122.745674;42;2;0;0
5024428;5;136.25848;65;-999;1;0
5024450;43;124.90555;34;7;1;0
5024786;8;118.16585;65;-999;0;0
5024813;18;130.66823;61;-999;0;0
5024833;9;117.32417;34;14;0;0
5024944;42;135.21028;43;4;1;0
5025091;16;127.093346;64;-999;0;0
5026012;2;127.78942;54;15;0;0
5026013;2;164.95042;54;15;0;0
5026236;1;127.78629;41;8;1;0
5026575;8;142.26944;61;-999;0;0
5028404;35;129.68536;40;4;1;0
5028689;20;118.90387;26;8;0;0
5028844;8;149.40724;33;2;1;0
5029095;10;135.93797;62;-999;0;0
5029236;10;139.30292;63;-999;0;0
5029665;36;131.35141;50;6;0;0
5033514;21;137.92043;44;1;1;1
5033601;13;133.17905;56;-999;0;0
5033877;28;128.97252;28;6;0;0
5035425;9;133.87183;39;3;1;0
5035828;3;112.67637;55;9;1;0
5036077;7;134.58151;29;3;0;0
5037229;41;122.40441;47;3;0;0
5037249;21;130.90639;32;10;0;0
5037288;17;140.77802;36;6;0;0
5038564;55;132.46936;55;1;1;0
5038835;2;140.26587;50;3;0;0
5041142;21;139.19388;28;2;0;0
5041233;1;168.3034;62;-999;0;0
5041603;43;129.77306;33;4;1;0
5041911;21;141.14217;51;9;0;0
5042113;7;138.66676;45;27;0;0
5042144;5;114.30432;39;20;0;0
5042194;14;131.92464;53;3;0;0
5044560;6;132.32114;43;6;0;0
5044789;14;130.80069;43;0;1;0
5045069;2;114.05371;28;7;0;0
5045576;11;122.67916;45;-999;0;0
5045611;21;133.22412;32;2;0;0
5045863;19;133.03601;27;8;0;0
5046373;12;126.08371;53;5;0;0
5048429;18;121.967354;54;23;0;0
5048516;56;136.77;47;7;0;0
5048584;2;106.93627;59;-999;0;0
5050553;9;127.793915;46;8;0;0
5050585;17;124.536575;43;6;0;0
5050956;5;150.36388;40;-999;0;0
5051079;11;129.03915;46;3;0;0
5052888;5;113.412155;66;-999;0;0
5052982;6;151.15799;53;4;0;0
5053148;37;129.32938;33;2;0;0
5053165;6;123.95052;65;-999;0;0
5053971;43;130.7526;27;1;1;0
5053972;32;128.75804;27;1;1;0
5054173;20;124.30277;47;5;1;0
5054497;3;128.04706;33;3;1;0
5058336;45;121.97394;54;4;0;0
5058482;14;133.91493;57;-999;1;0
5058511;13;118.74782;62;-999;0;0
5061178;53;126.09088;34;2;1;0
5061589;41;129.18063;63;-999;0;0
5061688;22;123.39753;25;4;0;0
5062621;14;115.31292;31;11;1;0
5065357;42;134.74675;58;14;0;0
5065365;10;133.83139;29;5;0;0
5065663;11;123.05809;55;5;0;0
5067062;22;142.65492;41;13;1;0
5067116;27;136.4197;65;-999;0;0
5067517;27;123.890045;49;18;0;0
5067549;24;130.80907;64;-999;0;0
5067550;15;129.21951;64;-999;0;0
5067631;5;127.69355;49;2;0;0
5067702;22;129.8439;52;12;1;0
5067875;14;146.88547;48;8;1;0
5067946;15;138.44383;46;9;1;0
5068102;20;147.80653;30;4;1;0
5068309;18;126.08066;26;0;0;0
5068711;8;142.4965;37;15;1;0
5068962;53;125.279785;41;8;1;0
5078968;20;130.44527;33;5;0;0
5085666;47;125.269775;48;5;0;0
5087834;10;126.86303;29;6;0;0
5088160;10;119.30979;35;2;0;0
5088243;14;122.96941;27;4;0;0
5088296;27;127.15528;56;1;0;0
5088454;8;154.11667;63;6;0;0
5089326;9;115.81403;30;0;0;0
5089347;39;123.74968;60;14;0;0
5089539;42;134.97815;50;15;1;0
5089561;15;129.29257;31;8;1;0
5089640;8;119.7586;30;3;0;0
5089706;20;118.61445;32;9;0;0
5089947;29;133.1144;40;17;1;0
5090445;27;131.805;42;2;0;0
5090735;24;133.39874;38;8;0;0
5091748;1;129.1169;31;4;1;0
5091983;6;140.73334;59;2;0;0
5092024;17;120.712364;36;2;0;0
5092352;43;125.79244;41;2;1;0
5092399;3;139.7742;60;-999;1;0
5092415;14;130.99615;48;4;1;0
5092438;50;132.96236;54;-999;1;0
5092480;44;125.664474;41;19;0;0
5093248;11;136.23679;33;8;0;0
5094896;52;128.97978;39;11;1;0
5095088;40;133.60513;63;6;0;0
5095235;4;158.77928;27;3;0;0
5095565;6;123.78825;32;3;0;0
5096118;14;126.78989;49;13;1;0
5096219;11;125.52626;36;17;1;0
5096429;44;135.53679;44;12;0;0
5096889;8;120.296936;49;13;1;0
5100159;57;141.12976;55;-999;1;0
5105066;27;128.87286;37;1;0;0
5105345;52;133.97838;44;3;1;0
5105498;6;150.33447;29;4;0;1
5105763;8;136.42503;30;5;1;0
5105947;11;125.616;26;4;0;0
5106086;23;128.959;58;5;0;0
5106089;2;140.99438;58;5;0;0
5106165;11;120.57583;52;9;1;0
5111090;24;135.19781;35;1;0;0
5112602;13;132.46436;61;35;0;0
5112950;13;128.56223;60;-999;0;0
5113072;8;137.02615;46;8;0;0
5113526;18;139.46284;42;4;1;0
5113643;5;127.629814;22;3;1;1
5113710;17;142.61711;50;13;0;0
5113782;16;142.53603;38;6;1;0
5114570;45;125.7932;29;0;1;0
5115395;6;150.35521;46;9;0;0
5115465;29;132.3485;57;-999;0;0
5116037;15;135.70076;44;1;1;0
5116115;31;136.99199;30;9;1;0
5116199;2;188.48943;59;-999;0;0
5116621;38;131.49937;38;9;1;0
5117442;23;122.73331;55;6;1;0
5117795;20;132.88121;26;2;1;0
5117941;6;145.25479;64;-999;1;0
5118391;32;132.121;31;13;1;0
5118644;6;158.2356;27;1;0;0
5125269;43;127.80831;31;1;1;0
5125323;3;116.65677;57;7;1;0
5125837;49;124.46586;32;5;1;0
5126727;22;134.64783;37;7;0;0
5132967;9;147.18726;33;1;1;0
5135626;16;124.04517;31;1;0;0
5135839;16;131.53638;59;-999;1;0
5135925;24;126.7298;55;-999;1;0
5135958;52;126.11417;32;7;0;0
5137217;25;127.74187;50;4;1;0
5137398;20;124.93313;30;7;0;0
5137434;36;129.2966;41;6;0;0
5140139;20;126.3954;24;4;1;0
5142101;3;120.633575;24;1;0;0
5142430;34;134.09232;61;21;0;0
5142736;8;134.2403;30;1;0;0
5142752;10;139.60368;49;1;0;0
5143182;16;141.79414;48;7;1;0
5143225;12;118.737785;61;-999;0;0
5143339;36;127.222534;35;7;0;0
5143592;6;117.5744;59;-999;0;0
5145844;24;125.21536;48;4;0;0
5146121;1;117.15347;55;-999;0;0
5146339;10;124.70445;44;2;0;0
5146439;9;124.43323;29;6;0;0
5146483;21;127.40003;51;9;0;0
5148491;27;129.48299;54;8;0;0
5148565;50;124.902435;53;14;0;0
5148650;28;127.02088;42;7;1;0
5148660;13;129.86731;34;6;0;0
5148787;52;122.484985;46;4;1;0
5149011;7;132.0167;47;10;0;0
5149376;5;135.24803;51;7;0;0
5149861;40;129.08784;35;17;0;0
5150070;56;131.442;32;9;0;0
5150387;17;123.941376;54;9;0;0
5008904;20;127.302086;42;9;0;1
5009009;10;118.97147;52;17;0;0
5009285;16;130.72699;41;13;0;0
